statnr,datum,RSX
12311,2015021715,0
12311,2015021716,0
12311,2015021717,0
12311,2015021718,0
12311,2015021719,0
12311,2015021720,0
12311,2015021721,0
12311,2015021722,0
12311,2015021723,0
12311,2015021724,0
12311,2015021801,0
12311,2015021802,0
12311,2015021803,0
12311,2015021804,0
12311,2015021805,0
12311,2015021806,0
12311,2015021807,0
12311,2015021808,0
12311,2015021809,0
12311,2015021810,0
12311,2015021811,0
12311,2015021812,0
12311,2015021813,0
12311,2015021814,0
12311,2015021815,0
12311,2015021816,0
12311,2015021817,0
12311,2015021818,0
12311,2015021819,0
12311,2015021820,0
12311,2015021821,0
12311,2015021822,0
12311,2015021823,0
12311,2015021824,0
12311,2015021901,0
12311,2015021902,0
12311,2015021903,0
12311,2015021904,0
12311,2015021905,0
12311,2015021906,0
12311,2015021907,0
12311,2015021908,0
12311,2015021909,0
12311,2015021910,0
12311,2015021911,0
12311,2015021912,0
12311,2015021913,0
12311,2015021914,0
12311,2015021915,0
12311,2015021916,0
12311,2015021917,0
12311,2015021918,0
12311,2015021919,0
12311,2015021920,0
12311,2015021921,0
12311,2015021922,0
12311,2015021923,0
12311,2015021924,0
12311,2015022001,0
12311,2015022002,0
12311,2015022003,0
12311,2015022004,0
12311,2015022005,0
12311,2015022006,0
12311,2015022007,0
12311,2015022008,0
12311,2015022009,0
12311,2015022010,0
12311,2015022011,0
12311,2015022012,0
12311,2015022013,0
12311,2015022014,0
12311,2015022015,0
12311,2015022016,0
12311,2015022017,0
12311,2015022018,0
12311,2015022019,0
12311,2015022020,0
12311,2015022021,0
12311,2015022022,0
12311,2015022023,0
12311,2015022024,0
12311,2015022101,0
12311,2015022102,0
12311,2015022103,0
12311,2015022104,0
12311,2015022105,0
12311,2015022106,0
12311,2015022107,0
12311,2015022108,0
12311,2015022109,0
12311,2015022110,0
12311,2015022111,0
12311,2015022112,0
12311,2015022113,0
12311,2015022114,0
12311,2015022115,0
12311,2015022116,0
12311,2015022117,0
12311,2015022118,0
12311,2015022119,0
12311,2015022120,0
12311,2015022121,0
12311,2015022122,0
12311,2015022123,0
12311,2015022124,0
12311,2015022201,0
12311,2015022202,0
12311,2015022203,0
12311,2015022204,0
12311,2015022205,0
12311,2015022206,0
12311,2015022207,0
12311,2015022208,0
12311,2015022209,0
12311,2015022210,0.2
12311,2015022211,0.2
12311,2015022212,0.5
12311,2015022213,0
12311,2015022214,0.1
12311,2015022215,0.1
12311,2015022216,0
12311,2015022217,0.1
12311,2015022218,0
12311,2015022219,0
12311,2015022220,0
12311,2015022221,0
12311,2015022222,0
12311,2015022223,0
12311,2015022224,0
12311,2015022301,0
12311,2015022302,0
12311,2015022303,0
12311,2015022304,0
12311,2015022305,0
12311,2015022306,0
12311,2015022307,0
12311,2015022308,0
12311,2015022309,0
12311,2015022310,0
12311,2015022311,0
12311,2015022312,0
